name;figi;ticker;rs
Polymetal;BBG004PYF2N3;POLY;6
Нижнекамскнефтехим (привилегированные);BBG000GQSVC2;NKNCP;2
Яковлев;BBG000FWGSZ5;IRKT;4
МРСК Волги;BBG000PKWCQ7;MRKV;6
ВСМПО-АВИСМА;BBG004S68CV8;VSMO;9
Объединенная авиастроительная корпорация;BBG000Q7ZZY2;UNAC;1
Таттелеком;BBG000RJL816;TTLK;2
СОЛЛЕРС;BBG004S68JR8;SVAV;7
СПБ Биржа;BBG002GHV6L9;SPBE;2
Etalon Group PLC ГДР;BBG001M2SC01;ETLN;9
United medical group;BBG011MCM288;GEMC;1
ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированные;BBG0029SG1C1;KZOSP;9
Whoosh;TCS00A105EX7;WUSH;2
КАМАЗ;BBG000LNHHJ9;KMAZ;8
ПАО «КАЗАНЬОРГСИНТЕЗ»;BBG0029SFXB3;KZOS;4
HeadHunter Group PLC;TCS2207L1061;HHRU;3
Лензолото;BBG000SK7JS5;LNZL;2
МГТС - акции привилегированные;BBG000PZ0833;MGTSP;5
Pop Mart;BBG00Y9WVZ76;9992;4
Селигдар;BBG002458LF8;SELG;2
РусАгро;BBG007N0Z367;AGRO;8
Татнефть - привилегированные акции;BBG004S68829;TATNP;3
Белон;BBG000VQWH86;BLNG;3
ЧЗПСН;TCS00A0JNXF9;PRFN;9
Магнитогорский металлургический комбинат;BBG004S68507;MAGN;8
Банк ВТБ;BBG004730ZJ9;VTBR;3
ГК Самолет;BBG00F6NKQX3;SMLT;6
Башнефть;BBG004S68758;BANE;3
Аэрофлот;BBG004S683W7;AFLT;8
Циан АДР;BBG012YQ6P43;CIAN;5
РУСАЛ;BBG008F2T3T2;RUAL;4
НКХП;BBG00BGKYH17;NKHP;9
Сбер Банк;BBG004730N88;SBER;7
PetroChina;BBG000BFNTD0;857;6
Генетико;TCS00A105BN4;GECO;2
Мать и дитя;BBG00Y3XYV94;MDMG;5
ГТМ;BBG00HY6V6H5;GTRK;8
Башнефть - привилегированные акции;BBG004S686N0;BANEP;2
O'Key Group SA;BBG00172J7S9;OKEY;5
Россети Центр и Приволжье;BBG000VG1034;MRKP;1
Совкомфлот;BBG000R04X57;FLOT;4
Пермэнергосбыт - акции привилегированные;BBG000MZL2S9;PMSBP;4
Татнефть;BBG004RVFFC0;TATN;4
X5 RetailGroup ГДР;BBG00JXPFBN0;FIVE;2
Мостотрест;BBG004S68DD6;MSTT;6
Country Garden Services;BBG00L3B3R02;6098;1
Мечел;BBG004S68598;MTLR;2
Longfor;BBG000CHNH78;960;2
Артген;TCS10A0JNAB6;ABIO;9
ОВК;BBG008HD3V85;UWGN;6
Акрон;BBG004S688G4;AKRN;9
Газпром;BBG004730RP0;GAZP;4
ДЭК;BBG000V07CB8;DVEC;3
Alibaba;BBG00QV37ZP9;9988;3
Сбер Банк - привилегированные акции;BBG0047315Y7;SBERP;6
Фармсинтез;BBG0019K04R5;LIFE;2
Банк Санкт-Петербург;BBG000QJW156;BSPB;5
ТГК-14;BBG000RG4ZQ4;TGKN;6
Транснефть - привилегированные акции;BBG00475KHX6;TRNFP;3
РКК Энергия им.С.П.Королева;BBG000LWNRP3;RKKE;5
Ленэнерго;BBG000NLC9Z6;LSNG;9
Ренессанс Страхование;BBG00QKJSX05;RENI;8
Россети Центр;BBG000VH7TZ8;MRKC;4
Positive Technologies;TCS00A103X66;POSI;2
Красный Октябрь;BBG000NLB2G3;KROT;5
КуйбышевАзот;BBG002B9MYC1;KAZT;7
Bilibili;BBG00ZNW65W3;9626;4
Пермэнергосбыт;BBG000MZL0Y6;PMSB;5
Газпром нефть;BBG004S684M6;SIBN;4
ЯТЭК;BBG002B298N6;YAKG;2
ТГК-2;BBG000Q7GG57;TGKB;2
Калужская сбытовая компания;BBG000DBD6F6;KLSB;5
ЧМК;BBG000RP8V70;CHMK;8
РуссНефть;BBG00F9XX7H4;RNFT;3
Shenzhou International Group;BBG000JSJ2F6;2313;5
Россети Северо-Запад;BBG000TJ6F42;MRKZ;5
